Line = 41792, column = 44165.
Line = 30054, column = 26828.
Line = 40017, column = 38321.
Line = 31801, column = 29575.
Line = 38919, column = 37570.
Line = 21735, column = 20189.
Line = 46124, column = 44322.
Line = 34227, column = 33462.
Line = 42725, column = 42435.
Line = 16298, column = 14600.
Line = 3637, column = 5340.
Line = 4701, column = 6815.
Line = 41933, column = 43288.
Line = 10860, column = 9908.
Line = 24887, column = 24520.
Line = 20624, column = 19491.
Line = 17861, column = 19161.
Line = 19211, column = 21927.
Line = 29931, column = 29580.
Line = 4272, column = 3699.
Line = 42763, column = 39439.
Line = 23660, column = 24034.
Line = 39922, column = 38723.
Line = 12181, column = 12613.
Line = 1676, column = 1398.
Line = 19469, column = 19723.
Line = 35637, column = 38669.
Line = 2347, column = 4225.
Line = 36911, column = 36422.
Line = 37818, column = 35687.
Line = 29232, column = 29799.
Line = 21864, column = 23404.
Line = 26417, column = 24846.
Line = 11012, column = 7313.
Line = 426, column = 1803.
Line = 13042, column = 14124.
Line = 41251, column = 38811.
Line = 38130, column = 38839.
Line = 44496, column = 42216.
Line = 32389, column = 32934.
Line = 25810, column = 27790.
Line = 734, column = 652.
Line = 22297, column = 22243.
Line = 6054, column = 5098.
